,0,text,polarity,subjectivity,sentiment,tokenized,nonstop,stemmed
0,"@F1TalkingPoints If Alpha Tauri is so openly for sale, why wouldn’t Andretti z buy it, given they’re so desperate to get into F1?",ftalkingpoints if alpha tauri is so openly for sale why wouldn’t andretti z buy it given they’re so desperate to get into f,-0.3,0.75,negative,"['ftalkingpoints', 'if', 'alpha', 'tauri', 'is', 'so', 'openly', 'for', 'sale', 'why', 'wouldn', 't', 'andretti', 'z', 'buy', 'it', 'given', 'they', 're', 'so', 'desperate', 'to', 'get', 'into', 'f']","['ftalkingpoints', 'alpha', 'tauri', 'openly', 'sale', 'andretti', 'z', 'buy', 'given', 'desperate', 'get', 'f']","['ftalkingpoint', 'alpha', 'tauri', 'openli', 'sale', 'andretti', 'z', 'buy', 'given', 'desper', 'get', 'f']"
1,"@F1 @lawrobarretto Mick to Williams
De Vries to Alpha Tauri
Gasly to Alpine

Haas seat left open, Italian Jesus or Hulkemberg? Both aren't good","f lawrobarretto mick to williams
de vries to alpha tauri
gasly to alpine

haas seat left open italian jesus or hulkemberg both arent good",0.175,0.275,negative,"['f', 'lawrobarretto', 'mick', 'to', 'williams', 'de', 'vries', 'to', 'alpha', 'tauri', 'gasly', 'to', 'alpine', 'haas', 'seat', 'left', 'open', 'italian', 'jesus', 'or', 'hulkemberg', 'both', 'arent', 'good']","['f', 'lawrobarretto', 'mick', 'williams', 'de', 'vries', 'alpha', 'tauri', 'gasly', 'alpine', 'haas', 'seat', 'left', 'open', 'italian', 'jesus', 'hulkemberg', 'arent', 'good']","['f', 'lawrobarretto', 'mick', 'william', 'de', 'vri', 'alpha', 'tauri', 'gasli', 'alpin', 'haa', 'seat', 'left', 'open', 'italian', 'jesu', 'hulkemberg', 'arent', 'good']"
2,"https://t.co/EEUB2j1NFS

Verstappen title permutations, Alpha Tauri’s driver line-up, who races for William’s this weekend, the 2023 calendar and the return of the Marina Bay circuit!

There’s lots going on in the paddock as F1 arrives in Singapore!

#SingaporeGP 🇸🇬 #F1","httpstcoeeubjnfs

verstappen title permutations alpha tauri’s driver lineup who races for william’s this weekend the  calendar and the return of the marina bay circuit

there’s lots going on in the paddock as f arrives in singapore

singaporegp 🇸🇬 f",0.0,0.0,neutral,"['httpstcoeeubjnfs', 'verstappen', 'title', 'permutations', 'alpha', 'tauri', 's', 'driver', 'lineup', 'who', 'races', 'for', 'william', 's', 'this', 'weekend', 'the', 'calendar', 'and', 'the', 'return', 'of', 'the', 'marina', 'bay', 'circuit', 'there', 's', 'lots', 'going', 'on', 'in', 'the', 'paddock', 'as', 'f', 'arrives', 'in', 'singapore', 'singaporegp', 'f']","['httpstcoeeubjnfs', 'verstappen', 'title', 'permutations', 'alpha', 'tauri', 'driver', 'lineup', 'races', 'william', 'weekend', 'calendar', 'return', 'marina', 'bay', 'circuit', 'lots', 'going', 'paddock', 'f', 'arrives', 'singapore', 'singaporegp', 'f']","['httpstcoeeubjnf', 'verstappen', 'titl', 'permut', 'alpha', 'tauri', 'driver', 'lineup', 'race', 'william', 'weekend', 'calendar', 'return', 'marina', 'bay', 'circuit', 'lot', 'go', 'paddock', 'f', 'arriv', 'singapor', 'singaporegp', 'f']"
3,@maxiesgirl @stella__f1 i think we’d be great at alpha tauri or mercedes,maxiesgirl stellaf i think we’d be great at alpha tauri or mercedes,0.8,0.75,positive,"['maxiesgirl', 'stellaf', 'i', 'think', 'we', 'd', 'be', 'great', 'at', 'alpha', 'tauri', 'or', 'mercedes']","['maxiesgirl', 'stellaf', 'think', 'great', 'alpha', 'tauri', 'mercedes']","['maxiesgirl', 'stellaf', 'think', 'great', 'alpha', 'tauri', 'merced']"
4,"@Planet_F1 They will be back, once RB &amp; Max win the championship in Japan they will buy Alpha Tauri, that’s part of the reason Yuki stays. And Honda will form a partnership with RB power trains.",planetf they will be back once rb amp max win the championship in japan they will buy alpha tauri that’s part of the reason yuki stays and honda will form a partnership with rb power trains,0.4,0.2,positive,"['planetf', 'they', 'will', 'be', 'back', 'once', 'rb', 'amp', 'max', 'win', 'the', 'championship', 'in', 'japan', 'they', 'will', 'buy', 'alpha', 'tauri', 'that', 's', 'part', 'of', 'the', 'reason', 'yuki', 'stays', 'and', 'honda', 'will', 'form', 'a', 'partnership', 'with', 'rb', 'power', 'trains']","['planetf', 'back', 'rb', 'amp', 'max', 'win', 'championship', 'japan', 'buy', 'alpha', 'tauri', 'part', 'reason', 'yuki', 'stays', 'honda', 'form', 'partnership', 'rb', 'power', 'trains']","['planetf', 'back', 'rb', 'amp', 'max', 'win', 'championship', 'japan', 'buy', 'alpha', 'tauri', 'part', 'reason', 'yuki', 'stay', 'honda', 'form', 'partnership', 'rb', 'power', 'train']"
5,f1 merch pop up!!!! i didnt get one only my family member cuz they didnt have what i want and they only have one merch of alpha tauri????? https://t.co/nunxaKgplJ,f merch pop up i didnt get one only my family member cuz they didnt have what i want and they only have one merch of alpha tauri httpstconunxakgplj,0.0,1.0,negative,"['f', 'merch', 'pop', 'up', 'i', 'didnt', 'get', 'one', 'only', 'my', 'family', 'member', 'cuz', 'they', 'didnt', 'have', 'what', 'i', 'want', 'and', 'they', 'only', 'have', 'one', 'merch', 'of', 'alpha', 'tauri', 'httpstconunxakgplj']","['f', 'merch', 'pop', 'didnt', 'get', 'one', 'family', 'member', 'cuz', 'didnt', 'want', 'one', 'merch', 'alpha', 'tauri', 'httpstconunxakgplj']","['f', 'merch', 'pop', 'didnt', 'get', 'one', 'famili', 'member', 'cuz', 'didnt', 'want', 'one', 'merch', 'alpha', 'tauri', 'httpstconunxakgplj']"
6,@F1 DEV to Alpha Tauri and GAS to Alpine,f dev to alpha tauri and gas to alpine,0.0,0.0,neutral,"['f', 'dev', 'to', 'alpha', 'tauri', 'and', 'gas', 'to', 'alpine']","['f', 'dev', 'alpha', 'tauri', 'gas', 'alpine']","['f', 'dev', 'alpha', 'tauri', 'ga', 'alpin']"
7,* Jaime Alguersuari drove in F1 for Toro Rosso (now Alpha Tauri) between 2009 -2011., jaime alguersuari drove in f for toro rosso now alpha tauri between  ,0.0,0.0,neutral,"['', 'jaime', 'alguersuari', 'drove', 'in', 'f', 'for', 'toro', 'rosso', 'now', 'alpha', 'tauri', 'between', '']","['', 'jaime', 'alguersuari', 'drove', 'f', 'toro', 'rosso', 'alpha', 'tauri', '']","['', 'jaim', 'alguersuari', 'drove', 'f', 'toro', 'rosso', 'alpha', 'tauri', '']"
8,"@KaZ1_F1 @LastLapLucy There’s more than one seat up for discussion 🤦🏻‍♂️
Alpha Tauri want De Vries","kazf lastlaplucy there’s more than one seat up for discussion 🤦🏻‍♂️
alpha tauri want de vries",0.5,0.5,positive,"['kazf', 'lastlaplucy', 'there', 's', 'more', 'than', 'one', 'seat', 'up', 'for', 'discussion', 'alpha', 'tauri', 'want', 'de', 'vries']","['kazf', 'lastlaplucy', 'one', 'seat', 'discussion', 'alpha', 'tauri', 'want', 'de', 'vries']","['kazf', 'lastlapluci', 'one', 'seat', 'discuss', 'alpha', 'tauri', 'want', 'de', 'vri']"
9,@DTM @NickCassidy_ @AFCorse Give him the Alpha Tauri seat in F1,dtm nickcassidy afcorse give him the alpha tauri seat in f,0.0,0.0,neutral,"['dtm', 'nickcassidy', 'afcorse', 'give', 'him', 'the', 'alpha', 'tauri', 'seat', 'in', 'f']","['dtm', 'nickcassidy', 'afcorse', 'give', 'alpha', 'tauri', 'seat', 'f']","['dtm', 'nickcassidi', 'afcors', 'give', 'alpha', 'tauri', 'seat', 'f']"
